id,geometry_type,coordonnees,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_fs,etab_adr,ouverture_jour,annee,etablissement_type,secteur,ministere_tutelle,services_proposes
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d1,Point,"[1.09817,6.18989489]",Maritime,Golfe,Golfe 7,Aflao-Sagbado,Golfe,CMS Don de la Vie,31BP,"{Lundi,Jeudi,Vendredi,Samedi,Dimanche}",2015,USP 2,Privé,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,autre,Services de vaccination de l enfant}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d2,Point,"[1.20467526,6.22521814]",Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe-nyive,CMS Douceur d'Orient,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,USP 2,ONG,MSHPAUS,"{Services de consultations prenatales,Services de laboratoire,autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d3,Point,"[1.21783167,6.16011667]",Maritime,Golfe,Golfe 3,Bè-Ouest,Golfe 3,CMS Doumassesse,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2009,USP 2,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d hygiene et d assainissement,Service d imagerie medicale,Service d urgence,Services d accouchement,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre,Services de conseil et de depistage du VIH,Services de soins et d appui en matiere de VIH/SIDA}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d4,Point,"[1.23063799,6.32313763]",Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Agoe nyive,CMS du Jura,Nsp,"{Dimanche, Jeudi, Lundi, Mardi, Mercredi, Samedi, Vendredi}",2012,USP 2,Association,Nsp,"{autre, Chirurgie generale, Diagnostic ou traitement du paludisme, Diagnostic-prise en charge integree maladies non transmissibles, Gyneco-obstetrique, Prevention de la transmission mere-enfant VIH, Service d imagerie medicale, Service de reeducation fonctionnelle, Services d accouchement, Services de conseil et de depistage du VIH, Services de consultations prenatales, Services de CPC, Services de laboratoire, Services de planification familiale, Services de soins et d appui en matiere de VIH/SIDA, Services de vaccination de l enfant, Soins obstetricaux et neonatals d urgence complets, Soins obstetricaux neonatals d urgence de base, Stockage medicaments vaccins produits contraceptifs, Traitement antiretroviral (VIH-SIDA)}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d5,Point,"[1.15307242,6.18855583]",Maritime,Golfe,Golfe 7,Aflao-Sagbado,Golfe,CMS Dytheo,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2013,USP 1,Privé,MSHPAUS,"{Diagnostic ou traitement du paludisme,Services d accouchement,Services de consultations prenatales,Services de conseil et de depistage du VIH,Services de laboratoire,Services de vaccination de l enfant}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d6,Point,"[1.26647874,6.16064716]",Maritime,Golfe,Golfe 1,Bè-Est,Golfe,CMS Dzidzo de Sid'Espoir,06 BP 62080,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2006,USP 2,ONG,MSHPAUS,"{Diagnostic ou traitement du paludisme,Service d urgence,Services de conseil et de depistage du VIH,Services de laboratoire,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Traitement antiretroviral (VIH-SIDA)}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d7,Point,"[1.12504865,6.17026562]",Maritime,Golfe,Golfe 7,Aflao-Sagbado,Golfe,CMS Ebenezer,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2013,USP 2,Confessionnel,MSHPAUS,"{Services d accouchement,Services de consultations prenatales,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d8,Point,"[1.17048993,6.21792282]",Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Agoe nyive / vakpossito,CMS Echange Solidarite France Togo,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2009,USP 1,Privé,MSHPAUS,"{Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de soins curatifs de l enfant,autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3d9,Point,"[1.14038259,6.18941426]",Maritime,Golfe,Golfe 7,Aflao-Sagbado,Golfe,CMS El Rapha 2,BP 30416 Lome,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2017,USP 1,Privé,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic ou traitement du paludisme,Gyneco-obstetrique,Service d imagerie medicale,Services d accouchement,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,autre}"
_mview_sant_etablissements_sante.fid--4a2be73b_19ea7efbae1_3da,Point,"[1.25948583,6.20947934]",Maritime,Golfe,Golfe 1,Bè-Est,Golfe,CMS El Shaddai,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2016,USP 2,Confessionnel,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de CPC,Services de planification familiale,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs}"
