FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_fs,etab_adr,ouverture_jour,annee,etablissement_type,secteur,ministere_tutelle,services_proposes,geometry
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_585f,Kara,Kéran,Kéran 1,Pessidè,Naboulgou,USP Naboulgou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1977,USP 1,Public,MSHPAUS,"{Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Traitement antiretroviral (VIH-SIDA)}",POINT (0.9194096726920639 10.063869602176721)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5860,Kara,Kéran,Kéran 3,Nadoba,Keran,USP Nadoba,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1968,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Service de transfusion sanguine,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement}",POINT (1.078616007437395 10.145499834176901)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5861,Savanes,Tandjoaré,Tandjoaré 2,Sangou,Tandjouare/sangou,USP NadONG,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2015,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs}",POINT (0.0555896458174557 10.590795214838451)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5862,Savanes,Oti,Oti 2,Nagbéni,Oti,USP Nagbeni,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1952,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic ou traitement du paludisme,Service de reeducation fonctionnelle,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de laboratoire,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,autre}",POINT (0.3980537697164943 10.610351604009635)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5863,Savanes,Oti-Sud,Oti-Sud 2,Nali,Oti sud,USP Nali,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1989,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (0.4534901976115746 10.043939362646283)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5864,Kara,Dankpen,Dankpen 3,Kidjabou,Guerin kouka,USP Namab,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",2017,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Diagnostic ou traitement du paludisme,Services de consultations prenatales,Services de CPC,Services d accouchement,Prevention de la transmission mere-enfant VIH,Services de planification familiale,Services de soins curatifs de l enfant,Services de sante destines aux adolescents,Services de vaccination de l enfant,Stockage medicaments vaccins produits contraceptifs,Soins obstetricaux neonatals d urgence de base}",POINT (0.5949030179658414 9.829417218947476)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5865,Savanes,Tône,Tône 2,Namaré,Tone / namaré,USP Namaré,Nsp,Nsp,2007,USP 1,Public,Nsp,"{Diagnostic ou demande d examen de crachats,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Traitement antiretroviral (VIH-SIDA)}",POINT (0.0947097872212373 10.987457125062223)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5866,Kara,Dankpen,Dankpen 2,Namon,Namon,USP Namon,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1991,USP 1,Public,MSHPAUS,"{Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Services de soins et d appui en matiere de VIH/SIDA,Traitement antiretroviral (VIH-SIDA),Stockage medicaments vaccins produits contraceptifs}",POINT (0.8065048023280034 9.727550211233192)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5867,Kara,Dankpen,Dankpen 3,Nandouta,Nandouta,USP Nandouta,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",1951,USP 1,Public,MSHPAUS,"{Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Service d hygiene et d assainissement,Service d urgence,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de vaccination de l enfant,Soins obstetricaux et neonatals d urgence complets,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA)}",POINT (0.4056974318848575 9.599374042783657)
_mview_sant_etablissements_sante.fid--7972e7e3_19e64eeddc7_5868,Savanes,Tône,Tône 2,Nanergou,Tone,USP Nanergou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",1983,USP 1,Public,MSHPAUS,"{Diagnostic ou demande d examen de crachats,Traitement ou suivi therapeutique de la tuberculose,Diagnostic-prise en charge integree maladies non transmissibles,Diagnostic ou traitement du paludisme,Services d accouchement,Services de conseil et de depistage du VIH,Services de consultations prenatales,Services de CPC,Services de planification familiale,Prevention de la transmission mere-enfant VIH,Services de sante destines aux adolescents,Services de soins curatifs de l enfant,Services de soins et d appui en matiere de VIH/SIDA,Services de vaccination de l enfant,Soins obstetricaux neonatals d urgence de base,Stockage medicaments vaccins produits contraceptifs,Traitement antiretroviral (VIH-SIDA),autre}",POINT (0.1493643841553551 10.912123889406905)
